	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	USER.TIME(%)	SYS.TIME(%)	TCA.MODULO	TOTAL.PG	TCA.FILE.ACCESS	TCR.CREATE	TCR.DROP
	0	15:28:41 07 NOV 2014	21003	1389	1381	113	0	1	1	0	0	1	15:28:41 07 NOV 2014	25003	1234	1235	159	0	1	1	0	0	2	15:28:41 07 NOV 2014	27003	1288	1287	99	0	1	1	0	0	3	15:28:41 07 NOV 2014	26003	977	978	3	0	1	1	0	0	4	15:28:41 07 NOV 2014	31003	1405	1406	423	0	1	1	0	0	5	15:28:43 07 NOV 2014	500	500	501	500	0	1	1	0	0	9	10	38	64	0	36	0
	0	15:28:48 07 NOV 2014	21003	1547	1548	113	0	1	1	0	0	1	15:28:48 07 NOV 2014	25003	1379	1380	159	0	1	1	0	0	2	15:28:48 07 NOV 2014	27003	1387	1388	99	0	1	1	0	0	3	15:28:48 07 NOV 2014	26003	1179	1180	3	0	1	1	0	0	4	15:28:48 07 NOV 2014	31003	1668	1665	423	0	1	1	0	0	5	15:28:50 07 NOV 2014	500	500	501	500	0	1	1	0	0	12	15	38	64	0	56	0
	0	15:28:56 07 NOV 2014	21003	1648	1647	1471	0	1	1	0	0	1	15:28:56 07 NOV 2014	25003	1474	1473	1279	0	1	1	0	0	2	15:28:56 07 NOV 2014	27003	1486	1487	1207	0	1	1	0	0	3	15:28:56 07 NOV 2014	26003	1460	1461	3	0	1	1	0	0	4	15:28:56 07 NOV 2014	31003	1872	1871	423	0	1	1	0	0	5	15:28:58 07 NOV 2014	500	500	501	500	0	1	1	0	0	7	6	38	64	0	70	0
	0	15:29:03 07 NOV 2014	21003	1743	1744	1471	0	1	1	0	0	1	15:29:03 07 NOV 2014	25003	1569	1570	1303	0	1	1	0	0	2	15:29:03 07 NOV 2014	27003	1587	1588	1207	0	1	1	0	0	3	15:29:03 07 NOV 2014	26003	1637	1638	1591	0	1	1	0	0	4	15:29:03 07 NOV 2014	31003	1960	1961	1831	0	1	1	0	0	5	15:29:05 07 NOV 2014	500	500	501	500	0	1	1	0	0	1	2	38	64	0	70	17
	0	15:29:10 07 NOV 2014	21003	1842	1843	1471	0	1	1	0	0	1	15:29:10 07 NOV 2014	25003	1665	1666	1303	0	1	1	0	0	2	15:29:10 07 NOV 2014	27003	1684	1685	1207	0	1	1	0	0	3	15:29:10 07 NOV 2014	26003	1722	1723	1591	0	1	1	0	0	4	15:29:11 07 NOV 2014	31003	2045	2046	1831	0	1	1	0	0	5	15:29:13 07 NOV 2014	500	500	501	500	0	1	1	0	0	1	2	38	64	0	70	17
	0	15:29:18 07 NOV 2014	21003	1937	1937	1471	0	1	1	0	0	1	15:29:18 07 NOV 2014	25003	1767	1768	1303	0	1	1	0	0	2	15:29:18 07 NOV 2014	27003	1788	1789	1207	0	1	1	0	0	3	15:29:18 07 NOV 2014	26003	1813	1814	1591	0	1	1	0	0	4	15:29:18 07 NOV 2014	31003	2136	2137	1831	0	1	1	0	0	5	15:29:20 07 NOV 2014	500	500	501	500	0	1	1	0	0	3	4	38	64	0	70	17
	0	15:29:25 07 NOV 2014	21003	2030	2031	1471	0	1	1	0	0	1	15:29:25 07 NOV 2014	25003	1867	1868	1303	0	1	1	0	0	2	15:29:25 07 NOV 2014	27003	1895	1896	1207	0	1	1	0	0	3	15:29:25 07 NOV 2014	26003	1905	1906	1591	0	1	1	0	0	4	15:29:25 07 NOV 2014	31003	2235	2236	1831	0	1	1	0	0	5	15:29:27 07 NOV 2014	500	500	501	500	0	1	1	0	0	2	2	38	64	0	70	17
	0	15:29:32 07 NOV 2014	21003	2123	2124	1471	0	1	1	0	0	1	15:29:33 07 NOV 2014	25003	1958	1959	1303	0	1	1	0	0	2	15:29:33 07 NOV 2014	27003	1997	1998	1207	0	1	1	0	0	3	15:29:33 07 NOV 2014	26003	2004	2005	1591	0	1	1	0	0	4	15:29:33 07 NOV 2014	31003	2331	2332	1831	0	1	1	0	0	5	15:29:35 07 NOV 2014	500	500	501	500	0	1	1	0	0	1	1	38	64	0	70	17
	0	15:29:40 07 NOV 2014	21003	2219	2219	1471	0	1	1	0	0	1	15:29:40 07 NOV 2014	25003	2054	2055	1303	0	1	1	0	0	2	15:29:40 07 NOV 2014	27003	2093	2094	1207	0	1	1	0	0	3	15:29:40 07 NOV 2014	26003	2096	2097	1591	0	1	1	0	0	4	15:29:40 07 NOV 2014	31003	2424	2425	1831	0	1	1	0	0	5	15:29:42 07 NOV 2014	500	500	501	500	0	1	1	0	0	2	1	38	64	0	70	17
	0	15:29:48 07 NOV 2014	21003	2329	2330	1471	0	1	1	0	0	1	15:29:48 07 NOV 2014	25003	2164	2165	1303	0	1	1	0	0	2	15:29:48 07 NOV 2014	27003	2209	2210	1207	0	1	1	0	0	3	15:29:48 07 NOV 2014	26003	2194	2195	1591	0	1	1	0	0	4	15:29:48 07 NOV 2014	31003	2536	2537	1831	0	1	1	0	0	5	15:29:51 07 NOV 2014	500	500	501	500	0	1	1	0	0	1	3	38	64	0	70	17
